PhoneId,Class
3,1
11,1
13,1
16,1
19,1
24,1
25,1
27,0
29,1
32,0
35,1
39,1
40,0
41,1
43,1
46,1
71,1
78,1
82,1
84,0
88,1
92,1
102,1
103,0
112,1
117,1
119,1
120,1
121,1
128,1
132,1
136,0
141,0
143,0
151,1
152,1
153,0
154,0
165,1
166,1
169,1
171,1
172,1
175,1
177,1
181,0
183,1
191,1
197,0
200,1
209,1
210,0
213,1
215,1
223,1
230,1
231,0
235,0
243,1
245,1
252,1
259,0
261,0
263,0
264,1
265,1
266,1
269,0
278,1
284,1
285,0
288,1
294,1
299,1
304,1
314,0
316,1
318,0
320,1
321,0
326,0
332,1
335,1
337,0
338,1
340,0
341,1
344,1
345,1
352,0
353,1
356,1
358,0
361,1
368,1
379,0
380,0
383,1
388,1
390,0
391,0
400,1
404,0
406,0
414,1
418,0
428,1
430,0
432,1
440,0
448,0
455,0
459,0
463,1
464,1
467,1
469,0
471,0
473,1
